source,target
GiselyFelipe1,_Janoninho
jhemyson,John_N4varro
Paiva28504696,Kaiqueporto32
Paiva28504696,UdaJuris2022
TOADTerapia,OliverNoronha
JosGandra4,Danicarlasou
maisamorp,edsozx
luciah1000,MarcianoBrito13
ac13131313,_Janoninho
BertoniLeo,Suzano_info
orgulho_2,UdaJuris2022
tatianemarceli6,_Janoninho
RoseSantAnnaVi1,BrunoCalixto22
_ZeDoPovo_,cervejadgarrafa
NadiaMariasol,_Janoninho
CalM29541309,Lindasod
ivone_emilia,_Janoninho
pcemig78,FelipeFrazaorj
NadiaMariasol,_Janoninho
RoseSantAnnaVi1,Suzano_info
BertoniLeo,Danicarlasou
oxijulhaa,Wallcostajf
NadiaMariasol,consallys
luciah1000,MarcianoBrito13
NadiaMariasol,euailze
justiceira_la,Douglasvet33
RonaldoJBBarros,_Janoninho
NadiaMariasol,daniduncan
FaoliRicco,FelipZimmer
NadiaMariasol,buarqueana13
Math_CEC,Danicarlasou
NadiaMariasol,_Janoninho
luciah1000,AngelJones_13
RosaSergio5,Danicarlasou
orgulho_2,GgmAndrews
Historiador55,MarloneBHMG
Math_CEC,CinthiaMagal
LuSaporiBrasil,Suzano_info
MarioOl52769551,_Janoninho
orgulho_2,martinha17_
Historiador55,GgmAndrews
Math_CEC,DCDM115
orgulho_2,RozanaFranco
FranciniaArajo1,DCDM115
Math_CEC,aro_marcia
betobraga14,vanzuty
VitorHu47660016,DoutorRedpill
orgulho_2,BaraoFarias
gaivotabranca,Simonegomes1981
maria_matsuoka,ApenasTruthNews
Historiador55,vanete_araujo
luciah1000,consallys
NovacSil,Suzano_info
millasatscor,linapaulaqueir1
helenrvitorino,psy_fps
RosaSergio5,MarloneBHMG
millasatscor,Wagner_R_O
AMaluan2022,Danicarlasou
JosGandra4,Lindasod
bola1companhero,lolaescreva
SirMorello,Wallcostajf
BertoniLeo,CinthiaMagal
Leonard12664645,consallys
LianaBarbosaDe1,CinthiaMagal
LianaBarbosaDe1,UdaJuris2022
luciah1000,_Janoninho
DeividS35123212,Kaiqueporto32
JrKuwahara,Suzano_info
JosGandra4,Luisoli21929060
NadiaMariasol,zurenemanique
NadiaMariasol,PalhaWill
SirMorello,John_N4varro
Taitiane4,UdaJuris2022
luciah1000,_Janoninho
anna_pestilli,UdaJuris2022
fabiola___rf,Danicarlasou
Rita21653073,Danicarlasou
DeividS35123212,FelipZimmer
sergionei_bozzo,LeoniceMariana1
NeideM10,Danicarlasou
NadiaMariasol,RonaldoJBBarros
EdvaldoEvangel9,Danicarlasou
jhemyson,lugubremonotomo
ORadicalLivre,mmichelemartins
NadiaMariasol,IsabelA11063116
brito_efrem,Danicarlasou
JosGandra4,joaovoltou
luciah1000,MarcianoBrito13
NeideM10,UdaJuris2022
anna_pestilli,BrunoCalixto22
sergionei_bozzo,vanete_araujo
FaoliRicco,Wagner_R_O
NadiaMariasol,lolaescreva
RomualdoOlarte,lugubremonotomo
FaoliRicco,Suzano_info
fabiola___rf,CinthiaMagal
NadiaMariasol,_Janoninho
Ohannaa98,_winston_br
Karinaadrianoa1,Suzano_info
eliza_junior,Suzano_info
MeziatMarta,_Janoninho
pcemig78,Amoresvidafeliz
JosGandra4,UdaJuris2022
luciah1000,_Janoninho
sergionei_bozzo,Luisoli21929060
vlds_jr,_Janoninho
SirMorello,Karinegtoledo
milemile2022,OceanAlves
ricardo37347725,FelipZimmer
JosGandra4,KaiolOof
madelcostas,_Janoninho
NadiaMariasol,_Janoninho
rluiz99,Karinegtoledo
paulophb57,_Janoninho
vlds_jr,_Janoninho
sergionei_bozzo,Karinegtoledo
Ohannaa98,LucianaSV29
Ja_nemel,_Janoninho
vlds_jr,_Janoninho
luciah1000,_Janoninho
simonegmoreno,_Janoninho
rluiz99,joaovoltou
NadiaMariasol,MarcelaSaraivas
NadiaMariasol,MDu2022
vlds_jr,_Janoninho
fatimaventuraa,BrunoCalixto22
Rita21653073,Wallcostajf
Taitiane4,vanzuty
sergionei_bozzo,alexfmotta
Ediene98043039,Suzano_info
Moraes09095330,MarloneBHMG
fatimaventuraa,FelipZimmer
CarlosgomesMir2,FelipZimmer
DirceuCelini,BrunoCalixto22
Sabelhinhaa,Naradmoraes
EdvaldoEvangel9,BrunoCalixto22
gonzaga_marconi,_Janoninho
DirceuCelini,Suzano_info
MitsuhiroFF,Kaiqueporto32
luciah1000,MarcianoBrito13
keitiane_garcia,Suzano_info
ElianeZandonadi,_Janoninho
MitsuhiroFF,Suzano_info
bolson_c,Wallcostajf
Moraes09095330,EstelaEuMesmaSC
Ediene98043039,UdaJuris2022
mary_joy_morais,lolaescreva
CarlosgomesMir2,Luisoli21929060
DeividS35123212,Edu210670
Cf70Cristina,_Janoninho
NadiaMariasol,_Janoninho
keitiane_garcia,Luisoli21929060
DeividS35123212,KaiolOof
ElaineA72327265,vanete_araujo
Ja_nemel,_Janoninho
Maripei82,FelipZimmer
CarlosgomesMir2,marianelazaro
luciah1000,euailze
gaivotabranca,_winston_br
Rita21653073,vanete_araujo
NadiaMariasol,OceanAlves
RenataL70919732,vanzuty
DDD90787080,Danicarlasou
RenataL70919732,AlvesContabeis
ElaineA72327265,alexfmotta
RosaSergio5,FelipZimmer
luciah1000,_Janoninho
eliza_junior,Wallcostajf
ThassyOliv3ira,eoliveira2003
sergionei_bozzo,Douglasvet33
NadiaMariasol,Cro_thom
_ZeDoPovo_,OceanAlves
FaoliRicco,UdaJuris2022
anderson_gs1,Kaiqueporto32
AlexFBar,AloyAV2
anderson_gs1,CinthiaMagal
luciah1000,_Janoninho
CarlosgomesMir2,Kaiqueporto32
Bruno_srnunes7,AlvesContabeis
andre_cassio,Edu210670
Maripei82,FelipeFrazaorj
Alberto08494564,MauricioCostaRS
Rita21653073,FelipeFrazaorj
AnnaMaciel13,Suzano_info
brito_efrem,DCDM115
DDD90787080,Wallcostajf
Andra82467853,Suzano_info
luciah1000,NoronhaNoronh4
andre_cassio,lugubremonotomo
DDD90787080,John_N4varro
mary_joy_morais,consallys
Andra82467853,FelipZimmer
vlds_jr,_Janoninho
eliza_junior,vanete_araujo
mary_joy_morais,_Janoninho
Almir_del,Naradmoraes
alexandrarubima,MDu2022
Repente40,consallys
RoogirRa,CinthiaMagal
DirceuCelini,vanete_araujo
cfmattos,lolaescreva
Andra82467853,vanete_araujo
gaivotabranca,MauricioCostaRS
GersonJosdeOli3,Danicarlasou
eliza_junior,Edu210670
Rita21653073,Karinegtoledo
marleisousa1972,Elainnefaria1
RosaSergio5,MauricioCostaRS
Andra82467853,Wallcostajf
MariaLu01646980,_Janoninho
afonsor5hotmai1,_Janoninho
RosaSergio5,UdaJuris2022
RosaSergio5,AppelLuciano
Andra82467853,OliverNoronha
MarcosBFabro,John_N4varro
sergionei_bozzo,RozanaFranco
andre_cassio,E_PaKabah
Clelia03102018,Danicarlasou
Bruno_srnunes7,Danicarlasou
GuedesMyrna,_Janoninho
andre_cassio,martinha17_
Rita21653073,DCDM115
Clelia03102018,Kaiqueporto32
ElianeF56160891,DCDM115
eliza_junior,Elainnefaria1
Fernand6795377,marianelazaro
DirceuCelini,IvairSouza4
Bruno_srnunes7,Luisoli21929060
Rita21653073,MauricioCostaRS
gaivotabranca,Alex__Lemos
Almir_del,_Janoninho
DDD90787080,CarolPollice
ElianeZandonadi,_Janoninho
Mariatirui,consallys
Joel_aman38,UdaJuris2022
gaivotabranca,BayerNany
joaodomenech,_Janoninho
joaodomenech,_Janoninho
eliza_junior,John_N4varro
ac13131313,lazarorosa25
Rita21653073,alexfmotta
Ezequie21183467,lazarorosa25
zebedeudascoves,_Janoninho
eliza_junior,psy_fps
GuedesMyrna,_Janoninho
gaivotabranca,CRISTOLUZ1000
marleisousa1972,UdaJuris2022
Ezequie21183467,TiciaEvans
joaodomenech,_Janoninho
joaodomenech,_Janoninho
LiberdadeSOSFA,JoaquinTeixeira
joaodomenech,cervejadgarrafa
MarcioDoce88,MauricioCostaRS
DeiaOliver13,Suzano_info
andre_cassio,Wagner_R_O
eliza_junior,goncalves273
mename29016356,Luisoli21929060
Ezequie21183467,netto41
eliza_junior,leojardels
DirceuCelini,AlvesContabeis
Rita21653073,almacigana7
Junior53461806,marianelazaro
simonegmoreno,_Janoninho
Neubert222,Wallcostajf
DirceuCelini,goncalves273
DeiaOliver13,Danicarlasou
gaivotabranca,willmourds
AntoniadePaula7,_Janoninho
Rita21653073,Wagner_R_O
bot_corno,MarcianoBrito13
Ezequie21183467,cesarcalejon1
DirceuCelini,DCDM115
joao_merisio,BrunoCalixto22
Americaservicos,Emerson_sincero
mename29016356,Edu210670
Ezequie21183467,DREEZ_171
marleisousa1972,MarloneBHMG
DirceuCelini,rexbonafide
joao_merisio,DCDM115
cfmattos,lazarorosa25
DirceuCelini,AloyAV2
madelcostas,_Janoninho
joao_merisio,Danicarlasou
Francis84008209,lazarorosa25
marleisousa1972,BaraoFarias
Clelia03102018,Luisoli21929060
DirceuCelini,Wagner_R_O
Valriasilvestr4,aro_marcia
Cristia56489041,Wagner_R_O
Lia_Bristol,UdaJuris2022
MitsuhiroFF,Edu210670
MarcoVilla68,MauricioCostaRS
ORadicalLivre,Felipefaria777
vlds_jr,_Janoninho
eddie_engels,lazarorosa25
scarNascimento2,JoaquinTeixeira
MissRosyF,Danicarlasou
VitorHu47660016,jdgrings
Jenni_stav,MauricioCostaRS
Mariatirui,cervejadgarrafa
DirceuCelini,Douglasvet33
VitorHu47660016,Alex__Lemos
vlds_jr,_Janoninho
DirceuCelini,BaraoFarias
Cristia56489041,FelipeFrazaorj
arielsonsorren4,vanzuty
sergionei_bozzo,vniacavalcante
DioneIracema,DCDM115
DirceuCelini,martinha17_
AliadoPeloBR,BrunoCalixto22
LKurudez,_Janoninho
Mariatirui,_Janoninho
marleisousa1972,leojardels
Bruno_srnunes7,linapaulaqueir1
andre_cassio,Danicarlasou
marleisousa1972,EndterPierre
DirceuCelini,almacigana7
Bruno_srnunes7,lugubremonotomo
MarcosBFabro,Priscil10056408
gaivotabranca,FranLSNeto
sergionei_bozzo,willmourds
CarvalhoCanada,eoliveira2003
MitsuhiroFF,MauricioCostaRS
sergionei_bozzo,CRISTOLUZ1000
NoronhaNoronh4,cesarcalejon1
Pitchucky,_Janoninho
prixx_piu,Suzano_info
Bruno_srnunes7,FelipeFrazaorj
Pitchucky,cesarcalejon1
JSantospez,lazarorosa25
Juciarossi1,Felipefaria777
apostoloCASSIUS,UdaJuris2022
Pitchucky,consallys
Pitchucky,euailze
YuriSCavalcante,BrunoCalixto22
MitsuhiroFF,goncalves273
jadder1984,MauricioCostaRS
Pitchucky,cervejadgarrafa
Pitchucky,MarcelaSaraivas
Juciarossi1,joaovoltou
EMorengueira,Suzano_info
Pitchucky,DREEZ_171
Felicia06743334,John_N4varro
afonsor5hotmai1,lazarorosa25
VernicaQuadro10,_Janoninho
ElianeG33,BrunoCalixto22
Bruno_srnunes7,psy_fps
sergionei_bozzo,Julio_B_2022
jadder1984,JoaquinTeixeira
nirlamarques,LidiaConta
YuriSCavalcante,Suzano_info
MitsuhiroFF,MrochaNysoft
Juciarossi1,Luisoli21929060
brito_efrem,Elainnefaria1
bubuzinha,lolaescreva
DirceuCelini,E_PaKabah
MICHELL17179024,FelipZimmer
Pitchucky,daniduncan
Pitchucky,buarqueana13
Direita_Network,CinthiaMagal
Pitchucky,joaodomenech
VitorHu47660016,BaraoFarias
Charles07683213,sorayabborges
marciacamargo12,DCDM115
AnaCris58562690,Danicarlasou
Charles07683213,P_de_Plotino
Pitchucky,_Janoninho
Christi59322080,Danicarlasou
Pitchucky,fonncllau10
Pitchucky,_Janoninho
AnaCris58562690,FelipZimmer
Pitchucky,_Janoninho
Christi59322080,Elainnefaria1
Pitchucky,_Janoninho
Bruno_srnunes7,BaraoFarias
brito_efrem,vanete_araujo
Flaviano_lopes1,FelipZimmer
fatimaventuraa,Wallcostajf
Oh_viannaa,FelipZimmer
bonvivantpb,Danicarlasou
Christi59322080,BrunoCalixto22
MarciaF84658325,_Janoninho
brito_efrem,Kaiqueporto32
BlendaKelly3,euailze
Simonegomes1981,MauricioCostaRS
Pitchucky,TiciaEvans
LeloCamargo1,Elainnefaria1
BlendaKelly3,buarqueana13
SeSodyne,MauricioCostaRS
dacioneto,Suzano_info
Pitchucky,JRBRONKO
veralindagon,FelipZimmer
bonvivantpb,Suzano_info
Pitchucky,lazarorosa25
VniaMMoura1,rexbonafide
BlendaKelly3,DREEZ_171
ElianeZandonadi,lazarorosa25
Pitchucky,zurenemanique
BlendaKelly3,lolaescreva
Pitchucky,AngelJones_13
AnaCris58562690,vanete_araujo
Americaservicos,MauricioCostaRS
Pitchucky,joaodomenech
brito_efrem,UdaJuris2022
BlendaKelly3,_Janoninho
joaodomenech,fonncllau10
Pitchucky,EdsonFilho74
JrHellcife,MauricioCostaRS
BlendaKelly3,_Janoninho
joaodomenech,cesarcalejon1
AnaCris58562690,Suzano_info
Pitchucky,RonaldoJBBarros
brito_efrem,joaovoltou
bonvivantpb,CinthiaMagal
Pitchucky,MarcianoBrito13
Pitchucky,_Janoninho
Pitchucky,PalhaWill
Pitchucky,Cro_thom
AnaCris58562690,Wallcostajf
brito_efrem,LucianaSV29
Simonegomes1981,Wagner_R_O
Pitchucky,joaodomenech
KarenKellen11,KaiolOof
Weslley02374166,lazarorosa25
Leo_Sullyvan,MauricioCostaRS
Pitchucky,OceanAlves
DirceuCelini,Flavian51746791
erwalio,FelipZimmer
Pitchucky,netto41
Francis84008209,joaodomenech
Pitchucky,MarcianoBrito13
Leo_Sullyvan,Elainnefaria1
gaivotabranca,JulianaAmorasP
AnaCris58562690,aro_marcia
Repente40,cervejadgarrafa
RCLconservadora,FranLSNeto
JSantospez,consallys
Ferri3Joana,LeoniceMariana1
rosydayane_,Kaiqueporto32
MICHELL17179024,CinthiaMagal
JSantospez,cervejadgarrafa
twitLacro,MauricioCostaRS
JSantospez,nadiaprado7
twitLacro,UdaJuris2022
vanessinha_st,Kaiqueporto32
brito_efrem,goncalves273
Leo_Sullyvan,Luisoli21929060
AntoniadePaula7,lazarorosa25
Ferri3Joana,vivianesfarias1
KarenKellen11,marianelazaro
Dan_SK,cervejadgarrafa
RCLconservadora,Henriq3581
adaossilva82,JoaquinTeixeira
FelipeFrazaorj,AppelLuciano
PaniagoGomes,Danicarlasou
twitLacro,Suzano_info
clarahcantunes,Wallcostajf
rosydayane_,CinthiaMagal
bolson_c,FelipZimmer
Leo_Sullyvan,Edu210670
Leo_Sullyvan,Karinegtoledo
Christi59322080,UdaJuris2022
Corrreea123,P_de_Plotino
aline_fvieira,lugubremonotomo
Christi59322080,Kaiqueporto32
Adalgis51564937,_Janoninho
aline_fvieira,BrunoCalixto22
twitLacro,vanete_araujo
Matheus44072471,lazarorosa25
twitLacro,LeoewalF
BbFrenetica,JoaquinTeixeira
JSantospez,MarcelaSaraivas
clarahcantunes,vanete_araujo
JandadaRosange1,FelipZimmer
GuairaSobieski,Danicarlasou
LKurudez,_Janoninho
_Janoninho,lazarorosa25
CibelePaula4,UdaJuris2022
Corrreea123,cervejadgarrafa
Repente40,_Janoninho
GuairaSobieski,Elainnefaria1
meihirataa,MauricioCostaRS
gaivotabranca,deborahtelles
Corrreea123,_Janoninho
socorro62653109,MauricioCostaRS
Aleghiraldini,FelipZimmer
gaivotabranca,patriamada07
SoraiaHidalgo,MauricioCostaRS
MariaSouzza1315,_Janoninho
acquabubbles,MarcelaSaraivas
matzenbac,MauricioCostaRS
acquabubbles,lazarorosa25
rd12493055,_Janoninho
Adriano19777131,MauricioCostaRS
JSantospez,cesarcalejon1
BbFrenetica,UdaJuris2022
acquabubbles,consallys
Marlene65162860,Suzano_info
meihirataa,JoaquinTeixeira
JSantospez,zurenemanique
rd12493055,_Janoninho
Marlene65162860,Danicarlasou
NovacSil,vanete_araujo
conciliele,lazarorosa25
rd12493055,_Janoninho
acquabubbles,euailze
SoraiaHidalgo,DCDM115
clarahcantunes,Edu210670
acquabubbles,cervejadgarrafa
socorro62653109,Suzano_info
BrenoETSantiago,aro_marcia
conciliele,consallys
Marlene65162860,FelipZimmer
LucliaS35081712,lazarorosa25
acquabubbles,nadiaprado7
meihirataa,Danicarlasou
homo10sapiens,MarcelaSaraivas
conciliele,euailze
Marlene65162860,Suzano_info
madelcostas,lolaescreva
homo10sapiens,lazarorosa25
LucliaS35081712,consallys
acquabubbles,buarqueana13
upelele01,lazarorosa25
Marlene65162860,UdaJuris2022
homo10sapiens,_Janoninho
LucliaS35081712,euailze
acquabubbles,DREEZ_171
binyfim,AppelLuciano
upelele01,euailze
gaivotabranca,KaukitoTurismo
acquabubbles,cesarcalejon1
homo10sapiens,consallys
upelele01,DREEZ_171
Marlene65162860,BrunoCalixto22
acquabubbles,daniduncan
matzenbac,JoaquinTeixeira
conciliele,cervejadgarrafa
homo10sapiens,cesarcalejon1
acquabubbles,_Janoninho
homo10sapiens,_Janoninho
acquabubbles,zurenemanique
LucliaS35081712,nadiaprado7
Catarina_47,lazarorosa25
homo10sapiens,_Janoninho
SoraiaHidalgo,FelipZimmer
Mauro46431491,_Janoninho
upelele01,nadiaprado7
Marlene65162860,Wallcostajf
acquabubbles,_Janoninho
Mauro46431491,lazarorosa25
LucliaS35081712,daniduncan
acquabubbles,_Janoninho
acquabubbles,joaodomenech
claudio_degani,Danicarlasou
e2005lopes,Danicarlasou
homo10sapiens,_Janoninho
PaniagoGomes,BrunoCalixto22
acquabubbles,AngelJones_13
LucliaS35081712,buarqueana13
acquabubbles,TiciaEvans
Mauro46431491,euailze
GuedesMyrna,lazarorosa25
Analu63605234,Suzano_info
claudio_degani,Kaiqueporto32
LucliaS35081712,MarcelaSaraivas
PaniagoGomes,KaiolOof
conciliele,MarcelaSaraivas
acquabubbles,joaodomenech
homo10sapiens,buarqueana13
Mauro46431491,cervejadgarrafa
Analu63605234,DCDM115
acquabubbles,_Janoninho
conciliele,buarqueana13
LucliaS35081712,DREEZ_171
acquabubbles,MarcianoBrito13
homo10sapiens,nadiaprado7
Laudemiro2011,Elainnefaria1
MICHELL17179024,Lindasod
Mauro46431491,DREEZ_171
homo10sapiens,EdsonFilho74
Analu63605234,Wallcostajf
acquabubbles,EdsonFilho74
Marlene65162860,linapaulaqueir1
Mauro46431491,zurenemanique
homo10sapiens,_Janoninho
LucliaS35081712,cesarcalejon1
Catarina_47,_Janoninho
AlineGigena,lazarorosa25
acquabubbles,lolaescreva
homo10sapiens,euailze
acquabubbles,joaodomenech
acquabubbles,_Janoninho
homo10sapiens,MarcianoBrito13
TioCaveira300,JoaquinTeixeira
Marlene65162860,Karinegtoledo
AlineGigena,consallys
conciliele,DREEZ_171
homo10sapiens,DREEZ_171
LucliaS35081712,_Janoninho
MeireMe22166878,Suzano_info
vnia_wenzel1,Elainnefaria1
conciliele,cesarcalejon1
homo10sapiens,MarcianoBrito13
MDu2022,joaodomenech
Marlene65162860,joaovoltou
jadder1984,vanete_araujo
Lia_Bristol,MauricioCostaRS
homo10sapiens,MarcianoBrito13
clarahcantunes,lugubremonotomo
Everton74038853,MauricioCostaRS
meihirataa,Karinegtoledo
homo10sapiens,MarcianoBrito13
Ja_nemel,_Janoninho
AlineGigena,buarqueana13
meihirataa,John_N4varro
Marlene65162860,Edu210670
CibelePaula4,lugubremonotomo
LucliaS35081712,_Janoninho
BbFrenetica,Karinegtoledo
gaivotabranca,Christi59322080
vnia_wenzel1,BrunoCalixto22
clarahcantunes,eoliveira2003
homo10sapiens,MarcianoBrito13
conciliele,_Janoninho
vnia_wenzel1,DCDM115
claudio_degani,Wallcostajf
homo10sapiens,CarlosS48442375
conciliele,zurenemanique
LucliaS35081712,joaodomenech
homo10sapiens,MarcianoBrito13
MarciaRemedy,lazarorosa25
Patrcia01777362,CarlosS48442375
conciliele,joaodomenech
homo10sapiens,_Janoninho
bin_vera,DCDM115
MarciaRemedy,consallys
tomcatspeedi,Kaiqueporto32
homo10sapiens,OceanAlves
homo10sapiens,_Janoninho
MarciaRemedy,euailze
LucliaS35081712,EdsonFilho74
bin_vera,MauricioCostaRS
clarahcantunes,goncalves273
homo10sapiens,joaodomenech
conciliele,_Janoninho
AntoniadePaula7,_Janoninho
e2005lopes,MauricioCostaRS
neide_vp,John_N4varro
MarciaRemedy,cervejadgarrafa
LucliaS35081712,joaodomenech
e2005lopes,John_N4varro
elimarconde,FelipZimmer
Marlene65162860,Wagner_R_O
NovacSil,FelipZimmer
homo10sapiens,AngelJones_13
Sabelhinhaa,lazarorosa25
conciliele,_Janoninho
Yourpurposeee,lazarorosa25
MarciaRemedy,DREEZ_171
clarahcantunes,marianelazaro
homo10sapiens,joaodomenech
bin_vera,JoaquinTeixeira
Yourpurposeee,consallys
neide_vp,lugubremonotomo
conciliele,TiciaEvans
homo10sapiens,daniduncan
conciliele,joaodomenech
roberto14874577,Suzano_info
e2005lopes,Wallcostajf
Yourpurposeee,euailze
GuedesMyrna,_Janoninho
Astuto31111581,lazarorosa25
Adriano19777131,UdaJuris2022
homo10sapiens,TiciaEvans
conciliele,_Janoninho
homo10sapiens,RonaldoJBBarros
mafair12,MauricioCostaRS
JandadaRosange1,JoaquinTeixeira
homo10sapiens,sorayabborges
conciliele,AngelJones_13
homo10sapiens,joaodomenech
Marlene65162860,mara_selma
MeireMe22166878,Kaiqueporto32
GomesSolamita,John_N4varro
MarciaRemedy,MarcelaSaraivas
JandadaRosange1,aro_marcia
Yourpurposeee,DREEZ_171
roberto14874577,Elainnefaria1
JandadaRosange1,vanete_araujo
vnia_wenzel1,aro_marcia
homo10sapiens,Cro_thom
conciliele,lolaescreva
conciliele,joaodomenech
conciliele,CarlosS48442375
homo10sapiens,joaodomenech
vnia_wenzel1,MarloneBHMG
CarlosS10521054,Danicarlasou
JandadaRosange1,lugubremonotomo
JandadaRosange1,BaraoFarias
conciliele,EdsonFilho74
MarciaRemedy,daniduncan
homo10sapiens,Naradmoraes
conciliele,fonncllau10
homo10sapiens,MarcianoBrito13
Yourpurposeee,_Janoninho
CarlosS10521054,MauricioCostaRS
JandadaRosange1,Lindasod
conciliele,_Janoninho
abnersantosfre,MauricioCostaRS
MarciaRemedy,buarqueana13
JandadaRosange1,Wallcostajf
CarlosS10521054,DCDM115
MeireMe22166878,John_N4varro
JandadaRosange1,CinthiaMagal
PereiraRondon,Kaiqueporto32
claudio_degani,BrunoCalixto22
marinacafadv,_Janoninho
conciliele,MarcianoBrito13
JandadaRosange1,GgmAndrews
Everton74038853,vanete_araujo
JandadaRosange1,nayarathaf
MarciaRemedy,cesarcalejon1
conciliele,joaodomenech
JandadaRosange1,Suzano_info
JandadaRosange1,GleissonOpus
lublanche,vanete_araujo
conciliele,RonaldoJBBarros
JandadaRosange1,Edu210670
mach16mar,DCDM115
MeireMe22166878,Wagner_R_O
lzaana_hotmail,Danicarlasou
simonegmoreno,_Janoninho
conciliele,sorayabborges
DaviSatto,Wallcostajf
conciliele,JRBRONKO
Adalgis51564937,_Janoninho
MeireMe22166878,goncalves273
homo10sapiens,zurenemanique
lzaana_hotmail,Suzano_info
Adalgis51564937,_Janoninho
conciliele,_Janoninho
homo10sapiens,joaodomenech
conciliele,Cro_thom
lublanche,Luisoli21929060
homo10sapiens,JRBRONKO
Adriano19777131,Kaiqueporto32
lublanche,Suzano_info
JoseAnd02793053,lolaescreva
homo10sapiens,joaodomenech
enriique_garcia,willmourds
CibelePaula4,BrunoCalixto22
homo10sapiens,P_de_Plotino
mach16mar,Pittyprovesi
homo10sapiens,netto41
Mariatirui,MarcianoBrito13
mach16mar,FelipZimmer
igormartzell,_Janoninho
ItalobomVictor,CarlosS48442375
homo10sapiens,oicram2016
enriique_garcia,E_PaKabah
igormartzell,lazarorosa25
ItalobomVictor,EdsonFilho74
CarlosR68404460,BrunoCalixto22
homo10sapiens,sorayabborges
Weslley02374166,MarcianoBrito13
homo10sapiens,edsozx
meihirataa,linapaulaqueir1
clarahcantunes,Fran_apropria
conciliele,OceanAlves
igormartzell,nadiaprado7
igormartzell,cesarcalejon1
igormartzell,_Janoninho
Everton74038853,John_N4varro
BbFrenetica,DCDM115
edsalex,Elainnefaria1
vaz_eunice,joaodomenech
lzaana_hotmail,BrunoCalixto22
Adalgis51564937,_Janoninho
mariaau15487649,Wallcostajf
dnak_d,Elainnefaria1
WerbitchonA,Suzano_info
vaz_eunice,_Janoninho
conciliele,_Janoninho
lzaana_hotmail,vanete_araujo
CamilaValria8,Suzano_info
j_racionais,_Janoninho
bola1companhero,CarlosS48442375
MarcianoBrito13,cesarcalejon1
adsrocha6,lazarorosa25
vaz_eunice,lazarorosa25
vaz_eunice,CarlosS48442375
Waldenilsonrobe,FelipZimmer
gonzaga_marconi,lazarorosa25
marileia2141,marianelazaro
gaivotabranca,EMorengueira
ceara59,_Janoninho
marinacafadv,_Janoninho
WerbitchonA,Kaiqueporto32
marileia2141,Danicarlasou
Astuto31111581,_Janoninho
Regina36695692,consallys
mariaau15487649,MarloneBHMG
Regina36695692,DREEZ_171
_Janoninho,cesarcalejon1
marinacafadv,lazarorosa25
mariaau15487649,UdaJuris2022
Regina36695692,euailze
Regina36695692,nadiaprado7
lzaana_hotmail,Suzano_info
Regina36695692,MarcelaSaraivas
mariaau15487649,marianelazaro
ac13131313,cesarcalejon1
lzaana_hotmail,Alex__Lemos
marileia2141,MauricioCostaRS
jadder1984,Luisoli21929060
zebedeudascoves,_Janoninho
ceara59,simonegmoreno
zebedeudascoves,_Janoninho
jadder1984,linapaulaqueir1
GleicianySilv17,Danicarlasou
lzaana_hotmail,vanzuty
gaivotabranca,claryene
DuasVezes1,lazarorosa25
Cizinhah,_Janoninho
gaivotabranca,vivianesfarias1
alexcarv72,Suzano_info
paula37095125,LeoniceMariana1
paula37095125,Suzano_info
terezajunquilh2,lolaescreva
lzaana_hotmail,goncalves273
AlexFBar,MauricioCostaRS
Moraes09095330,Amoresvidafeliz
marta56028719,Kaiqueporto32
The_Yachtsman,Danicarlasou
ceara59,jamlima77
mariaau15487649,psy_fps
MitsuhiroFF,JoaquinTeixeira
madelcostas,joaodomenech
The_Yachtsman,Kaiqueporto32
reinaldo6763,Suzano_info
almeida_welma,JoaquinTeixeira
terezajunquilh2,consallys
King_Napoleao,KaiolOof
terezajunquilh2,_Janoninho
The_Yachtsman,UdaJuris2022
Simonegomes1981,lugubremonotomo
AlexFBar,Wallcostajf
Cizinhah,_Janoninho
laercioclp,KaiolOof
Simonegomes1981,John_N4varro
King_Napoleao,FelipZimmer
mach16mar,GabryelyOlivei1
tatianemarceli6,_Janoninho
marta56028719,Wallcostajf
marileia2141,linapaulaqueir1
robledorap,_Janoninho
Lucyvieira7,Suzano_info
AlexFBar,aro_marcia
NeideLi19431932,CinthiaMagal
vaz_eunice,cesarcalejon1
marileia2141,UdaJuris2022
madelcostas,lazarorosa25
Lucyvieira7,UdaJuris2022
SBluhu,CinthiaMagal
lzaana_hotmail,LeoewalF
DayKSantos1,BrunoCalixto22
marileia2141,Edu210670
Arnaldo96251489,MauricioCostaRS
adsrocha6,_Janoninho
marinacafadv,_Janoninho
NeideLi19431932,Edu210670
laercioclp,MauricioCostaRS
NeideLi19431932,UdaJuris2022
SBluhu,Wallcostajf
laercioclp,BrunoCalixto22
NeideLi19431932,MarloneBHMG
marinacafadv,_Janoninho
MariaSi25970757,_Janoninho
santossonia407,_Janoninho
marileia2141,Christi59322080
Crislai17825672,MarcelaSaraivas
NeideLi19431932,marianelazaro
Benedit74003442,Suzano_info
marta56028719,Elainnefaria1
King_Napoleao,John_N4varro
Crislai17825672,lazarorosa25
laercioclp,John_N4varro
zebedeudascoves,_Janoninho
Crislai17825672,consallys
laercioclp,vanzuty
NeideLi19431932,GleissonOpus
Juliana110174,MauricioCostaRS
laercioclp,IvairSouza4
